AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
1602.004637,820.143124,468.603529,312.692672,43.838238,1.113403,3.143814,3.228099,3.653197,3.233988,1836.512045,839.715344,536.023729,355.277276,49.147614,2068.768059,927.308774,607.289086,385.645319,50.306754,1589.764454,795.794284,483.600132,321.680915,43.443617,1
1648.410749,1027.630001,543.252317,273.849371,47.554865,1.187707,3.54325,3.267439,3.101986,3.385786,1835.950823,1018.739908,592.109822,295.638556,49.783979,2132.468985,1152.014838,701.153485,339.696784,53.936408,1622.183379,989.696292,549.072125,275.556757,46.710437,1
1605.193182,1189.284067,630.953231,250.604223,52.33456,1.174995,3.800832,3.285394,2.640675,3.410586,1764.307215,1158.133199,665.858569,257.533126,52.058778,2105.657645,1328.980974,807.126152,310.739266,58.803611,1577.271683,1141.619307,632.298231,247.283044,51.381376,1
1462.585805,1264.364852,703.198872,249.60831,57.832213,1.237306,3.847343,3.329154,2.426493,3.326307,1604.177823,1219.667609,724.551309,246.714606,55.786513,1960.104214,1418.389812,894.786105,307.868532,64.770025,1439.759194,1210.840387,701.31598,242.736111,57.083412,1
1305.079769,1264.657727,762.149646,275.511102,63.599263,1.21411,3.735482,3.538992,2.569379,3.179436,1419.164027,1214.068254,770.268777,266.488857,60.481892,1772.484799,1438.650503,968.307528,339.202677,71.615077,1283.662914,1206.650066,756.660901,265.861959,63.196649,1
1320.886285,1279.777365,842.60945,328.169153,69.251949,1.382108,3.684445,4.079722,3.085787,3.012102,1378.318381,1225.317848,836.075617,315.263817,65.55052,1756.263287,1494.858206,1069.976133,407.84814,79.13066,1283.31319,1212.074023,829.854322,315.690926,69.066168,1
1709.573916,1511.028458,1024.936096,399.357831,74.371279,1.650036,4.315668,5.028774,3.989479,2.887716,1671.420845,1438.71311,997.482104,384.125896,70.365941,2150.440982,1815.339463,1294.657437,505.43466,86.827307,1628.497707,1414.744503,996.152189,383.487049,74.042785,1
2674.449206,2268.716718,1375.122299,471.82221,81.814815,3.159084,7.516654,7.411773,5.673646,3.268841,2503.861215,2148.185166,1316.828195,456.566705,77.816966,3183.158464,2744.259291,1716.375882,608.279818,97.39123,2521.010022,2116.108812,1323.170809,452.668792,80.975383,1
4965.148653,4067.169602,1960.555213,590.226788,112.04205,9.258941,18.52689,14.810787,10.468572,5.663891,4661.356984,3865.707239,1862.358436,577.156246,108.676133,5552.776772,4818.785747,2384.564942,754.313121,131.007703,4728.518563,3844.353477,1885.391184,570.801414,111.016568,1
10750.7405,7670.784292,2923.391502,890.269415,207.880881,24.318188,45.513262,31.424463,22.375973,12.133052,10318.86538,7369.913269,2779.330825,879.277841,205.643866,11314.54235,8824.684759,3398.840697,1080.186787,229.892801,10405.95687,7399.08882,2828.529682,876.134487,207.770797,1
